Schengen State,Country where consulate is located,Consulate,ATVs applied, ATVs issued (including multiple),ATVs not issued ,Uniform visas applied for,"uniform visas issued including MEVs
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Belgium,QATAR,DOHA,0.0,0.0,0.0,1320.0,1132.0,742.0,65.5,5.0,103.0,7.803030303030304,1320.0,1137.0,103.0,7.803030303030304
Belgium,ROMANIA,BUCHAREST,0.0,0.0,0.0,85.0,63.0,31.0,49.2,1.0,20.0,23.52941176470588,85.0,64.0,20.0,23.52941176470588
Belgium,RUSSIAN FEDERATION,MOSCOW,0.0,0.0,0.0,13859.0,13213.0,7793.0,59.0,21.0,465.0,3.355220434374775,13859.0,13234.0,465.0,3.355220434374775
Belgium,RWANDA,KIGALI,5.0,0.0,0.0,9185.0,7056.0,1960.0,27.8,4.0,1712.0,18.63908546543277,9190.0,7060.0,1712.0,18.628944504896626
Belgium,SAUDI ARABIA,RIYADH,0.0,0.0,0.0,1834.0,1509.0,905.0,60.0,27.0,255.0,13.90403489640131,1834.0,1536.0,255.0,13.90403489640131
Belgium,SENEGAL,DAKAR,2.0,0.0,0.0,3431.0,1379.0,468.0,33.9,162.0,1890.0,55.08598076362576,3433.0,1379.0,1890.0,55.05388872706089
Belgium,SERBIA,BELGRADE,0.0,0.0,0.0,53.0,42.0,35.0,83.3,2.0,9.0,16.9811320754717,53.0,42.0,9.0,16.9811320754717
Belgium,SINGAPORE,SINGAPORE,0.0,0.0,0.0,915.0,888.0,347.0,39.1,22.0,5.0,0.546448087431694,915.0,888.0,5.0,0.546448087431694
Belgium,SOUTH AFRICA,CAPE TOWN,0.0,0.0,0.0,1812.0,1750.0,1591.0,90.9,23.0,39.0,2.152317880794702,1812.0,1750.0,39.0,2.152317880794702
Belgium,SOUTH AFRICA,JOHANNESBURG,0.0,0.0,0.0,3745.0,3512.0,2009.0,57.2,2.0,173.0,4.619492656875835,3745.0,3514.0,173.0,4.619492656875835
Belgium,SOUTH KOREA,SEOUL,0.0,0.0,0.0,126.0,90.0,21.0,23.3,2.0,34.0,26.984126984126984,126.0,90.0,34.0,26.984126984126984
Belgium,SPAIN,MADRID,0.0,0.0,0.0,63.0,57.0,13.0,22.8,1.0,6.0,9.523809523809524,63.0,58.0,6.0,9.523809523809524
Belgium,SWITZERLAND,BERN,0.0,0.0,0.0,6.0,3.0,1.0,33.3,3.0,0.0,0.0,6.0,3.0,3.0,50.0
Belgium,TAIWAN,TAIPEI,0.0,0.0,0.0,45.0,38.0,37.0,97.4,6.0,1.0,2.2222222222222223,45.0,38.0,1.0,2.2222222222222223
Belgium,TANZANIA,DAR ES SALAAM,0.0,0.0,0.0,807.0,715.0,94.0,13.1,36.0,56.0,6.939281288723668,807.0,715.0,56.0,6.939281288723668
Belgium,THAILAND,BANGKOK,0.0,0.0,0.0,5938.0,5369.0,660.0,12.3,2.0,513.0,8.639272482317278,5938.0,5371.0,513.0,8.639272482317278
Belgium,TUNISIA,TUNIS,0.0,0.0,0.0,3655.0,2442.0,1113.0,45.6,32.0,1113.0,30.45143638850889,3655.0,2474.0,1113.0,30.45143638850889
Belgium,TURKEY,ANKARA,0.0,0.0,0.0,1882.0,1137.0,336.0,29.6,1.0,1097.0,58.28905419766206,1882.0,1138.0,1097.0,58.28905419766206
Belgium,TURKEY,ISTANBUL,0.0,0.0,0.0,8465.0,6313.0,3575.0,56.6,2.0,1200.0,14.176018901358537,8465.0,6315.0,1200.0,14.176018901358537
Belgium,UGANDA,KAMPALA,0.0,0.0,0.0,905.0,736.0,317.0,43.1,55.0,114.0,12.596685082872927,905.0,736.0,114.0,12.596685082872927
Belgium,UKRAINE,KYIV,0.0,0.0,0.0,499.0,434.0,234.0,53.9,27.0,38.0,7.615230460921844,499.0,434.0,38.0,7.615230460921844
Belgium,UNITED ARAB EMIRATES,ABU DHABI,0.0,0.0,0.0,4372.0,3363.0,2747.0,81.7,1.0,759.0,17.360475754803293,4372.0,3364.0,759.0,17.360475754803293
Belgium,UNITED KINGDOM,LONDON,1.0,0.0,0.0,7128.0,6138.0,3949.0,64.3,4.0,353.0,4.952300785634119,7129.0,6142.0,353.0,4.951606115864777
Belgium,USA,"ATLANTA, GA",2.0,1.0,0.0,673.0,581.0,145.0,25.0,90.0,2.0,0.2971768202080238,675.0,582.0,2.0,0.2962962962962963
Belgium,USA,"LOS ANGELES, CA",0.0,0.0,0.0,1238.0,1211.0,337.0,27.8,1.0,1.0,0.08077544426494346,1238.0,1212.0,1.0,0.08077544426494346
Belgium,USA,"NEW YORK, NY",0.0,0.0,0.0,1852.0,914.0,343.0,37.5,927.0,11.0,0.593952483801296,1852.0,914.0,11.0,0.593952483801296
Belgium,USA,"WASHINGTON, DC",1.0,1.0,0.0,859.0,733.0,621.0,84.7,1.0,35.0,4.074505238649592,860.0,735.0,35.0,4.069767441860465
Belgium,VIETNAM,HANOI,0.0,0.0,0.0,2006.0,1755.0,985.0,56.1,17.0,190.0,9.471585244267198,2006.0,1772.0,190.0,9.471585244267198
Czech Republic,AFGHANISTAN,KABUL,0.0,0.0,0.0,108.0,64.0,26.0,40.6,41.0,1.0,0.9259259259259258,108.0,105.0,1.0,0.9259259259259258
Czech Republic,ALBANIA,TIRANA,0.0,0.0,0.0,16.0,11.0,5.0,45.5,1.0,4.0,25.0,16.0,12.0,4.0,25.0
Czech Republic,ALGERIA,ALGIERS,0.0,0.0,0.0,996.0,537.0,168.0,31.3,1.0,458.0,45.98393574297189,996.0,537.0,458.0,45.98393574297189
Czech Republic,ARGENTINA,BUENOS AIRES,0.0,0.0,0.0,2.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
