Schengen State,Country where consulate is located,Consulate,ATVs applied, ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,"uniform visas issued including MEVs
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Germany,USA,"LOS ANGELES, CA",,,,,,1916,1880,1493,79.40%,14,22,1.10%,"1,916","1,894",22,1.10%
Germany,USA,"MIAMI, FL",17,17,1,,,548,530,226,42.60%,9,9,1.60%,565,556,9,1.60%
Germany,USA,"NEW YORK, NY",14,14,9,,,3649,3558,3540,99.50%,22,69,1.90%,"3,663","3,594",69,1.90%
Germany,USA,"SAN FRANCISCO, CA",25,25,17,,,3352,3316,3283,99.00%,8,28,0.80%,"3,377","3,349",28,0.80%
Germany,USA,"WASHINGTON, DC",16,16,,,,1300,1252,257,20.50%,2,46,3.50%,"1,316","1,270",46,3.50%
Germany,UZBEKISTAN,TASHKENT,,,,,,10302,9007,2805,31.10%,26,1269,12.30%,"10,302","9,033","1,269",12.30%
Germany,VENEZUELA,CARACAS,10,10,8,,,45,36,35,97.20%,2,7,15.60%,55,48,7,12.70%
Germany,VIETNAM,HANOI,,,,,,10084,8517,4174,49.00%,4,1563,15.50%,"10,084","8,521","1,563",15.50%
Germany,VIETNAM,HO CHI MINH,,,,,,7943,7124,7114,99.90%,8,811,10.20%,"7,943","7,132",811,10.20%
Germany,ZAMBIA,LUSAKA,,,,,,1013,901,111,12.30%,1,111,11.00%,"1,013",902,111,11.00%
Germany,ZIMBABWE,HARARE,,,,,,1194,1057,1057,100.00%,8,129,10.80%,"1,194","1,065",129,10.80%
Greece,ALBANIA,GJIROKASTER,,,,,,2,2,,,,,,2,2,,
Greece,ALBANIA,KORCE,,,,,,16,8,15,187.50%,7,1,6.30%,16,15,1,6.30%
Greece,ALBANIA,TIRANA,,,,,,244,201,123,61.20%,3,40,16.40%,244,204,40,16.40%
Greece,ALGERIA,ALGIERS,,,,,,2692,1018,161,15.80%,,1674,62.20%,"2,692","1,018","1,674",62.20%
Greece,ARGENTINA,BUENOS AIRES,,,,,,21,18,9,50.00%,1,2,9.50%,21,19,2,9.50%
Greece,ARMENIA,YEREVAN,,,,,,13535,11978,2882,24.10%,7,1550,11.50%,"13,535","11,985","1,550",11.50%
Greece,AUSTRALIA,ADELAIDE,,,,,,188,187,18,9.60%,,1,0.50%,188,187,1,0.50%
Greece,AUSTRALIA,CANBERRA,,,,,,50,48,39,81.30%,,2,4.00%,50,48,2,4.00%
Greece,AUSTRALIA,MELBOURNE,,,,,,858,858,73,8.50%,,,,858,858,,
Greece,AUSTRALIA,PERTH,,,,,,351,351,75,21.40%,,,,351,351,,
Greece,AUSTRALIA,SYDNEY,,,,,,527,523,325,62.10%,,4,0.80%,527,523,4,0.80%
Greece,AZERBAIJAN,BAKU,,,,,,970,753,184,24.40%,1,216,22.30%,970,754,216,22.30%
Greece,BELGIUM,BRUSSELS,,,,,,3,3,3,100.00%,,,,3,3,,
Greece,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,58,36,9,25.00%,6,16,27.60%,58,42,16,27.60%
Greece,BRAZIL,BRASILIA,,,,,,7,7,6,85.70%,,,,7,7,,
Greece,BRAZIL,SAO PAULO,,,,,,16,13,10,76.90%,,3,18.80%,16,13,3,18.80%
Greece,BULGARIA,SOFIA,,,,,,1103,1045,907,86.80%,26,32,2.90%,"1,103","1,071",32,2.90%
Greece,CANADA,MONTREAL,,,,,,240,226,187,82.70%,,14,5.80%,240,226,14,5.80%
Greece,CANADA,OTTAWA,,,,,,62,62,42,67.70%,,,,62,62,,
Greece,CANADA,TORONTO,,,,,,628,603,263,43.60%,1,24,3.80%,628,604,24,3.80%
Greece,CANADA,VANCOUVER,,,,,,163,160,30,18.80%,,3,1.80%,163,160,3,1.80%
Greece,CHILE,SANTIAGO DE CHILE,,,,,,20,20,10,50.00%,,,,20,20,,
Greece,CHINA,BEIJING,,,,,,38042,34947,1564,4.50%,2,3093,8.10%,"38,042","34,949","3,093",8.10%
Greece,CHINA,GUANGZHOU (CANTON),,,,,,20095,19316,2254,11.70%,1,778,3.90%,"20,095","19,317",778,3.90%
Greece,CHINA,SHANGHAI,,,,,,42719,41996,3935,9.40%,,723,1.70%,"42,719","41,996",723,1.70%
Greece,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,,,,,,750,311,87,28.00%,5,434,57.90%,750,316,434,57.90%
Greece,CROATIA,ZAGREB,,,,,,16,13,14,107.70%,3,,,16,16,,
Greece,CUBA,HAVANA,,,,,,257,242,133,55.00%,,15,5.80%,257,242,15,5.80%
Greece,CYPRUS,NICOSIA,,,,,,1299,1078,484,44.90%,19,202,15.60%,"1,299","1,097",202,15.60%
Greece,EGYPT,ALEXANDRIA,,,,,,3210,2873,1633,56.80%,,337,10.50%,"3,210","2,873",337,10.50%
Greece,EGYPT,CAIRO,,,,,,6606,5443,1502,27.60%,106,1057,16.00%,"6,606","5,549","1,057",16.00%
Greece,ETHIOPIA,ADDIS ABEBA,,,,,,377,230,50,21.70%,21,126,33.40%,377,251,126,33.40%
Greece,FRANCE,PARIS,,,,,,12,7,3,42.90%,5,,,12,12,,
Greece,GEORGIA,TBILISSI,,,,,,69,41,17,41.50%,3,25,36.20%,69,44,25,36.20%
Greece,GERMANY,STUTTGART,,,,,,2,2,,,,,,2,2,,
Greece,HONG KONG S.A.R.,HONG KONG,,,,,,617,615,606,98.50%,1,1,0.20%,617,616,1,0.20%
Greece,INDIA,NEW DELHI,,,,,,45341,40112,40107,100.00%,12,5217,11.50%,"45,341","40,124","5,217",11.50%
Greece,INDONESIA,JAKARTA,,,,,,4234,4211,2761,65.60%,,23,0.50%,"4,234","4,211",23,0.50%
Greece,IRAN,TEHERAN,,,,,,8113,4032,501,12.40%,1,4080,50.30%,"8,113","4,033","4,080",50.30%
Greece,IRAQ,BAGHDAD,,,,,,1455,923,286,31.00%,69,463,31.80%,"1,455",992,463,31.80%
Greece,IRELAND,DUBLIN,,,,,,435,432,55,12.70%,1,2,0.50%,435,433,2,0.50%
Greece,ISRAEL,JERUSALEM,,,,,,1968,1752,555,31.70%,7,209,10.60%,"1,968","1,759",209,10.60%
Greece,ISRAEL,TEL AVIV,,,,,,426,422,30,7.10%,1,3,0.70%,426,423,3,0.70%
Greece,ITALY,ROME,,,,,,50,44,13,29.50%,,6,12.00%,50,44,6,12.00%
Greece,JAPAN,TOKYO,,,,,,408,398,171,43.00%,,10,2.50%,408,398,10,2.50%
Greece,JORDAN,AMMAN,,,,,,4631,3434,1734,50.50%,13,1184,25.60%,"4,631","3,447","1,184",25.60%
Greece,KAZAKHSTAN,ASTANA,,,,,,6373,6242,1577,25.30%,12,119,1.90%,"6,373","6,254",119,1.90%
Greece,KENYA,NAIROBI,,,,,,1933,1615,509,31.50%,,318,16.50%,"1,933","1,615",318,16.50%
Greece,KOSOVO,PRISTINA,,,,,,6922,314,4649,1480.60%,6039,569,8.20%,"6,922","6,353",569,8.20%
Greece,KUWAIT,KUWAIT,,,,,,4151,2646,2425,91.60%,5,1500,36.10%,"4,151","2,651","1,500",36.10%
Greece,LEBANON,BEIRUT,1,,,1,100.00%,17862,16349,15308,93.60%,114,1399,7.80%,"17,863","16,463","1,400",7.80%
Greece,MEXICO,MEXICO CITY,,,,,,18,17,9,52.90%,,1,5.60%,18,17,1,5.60%
Greece,MONTENEGRO,PODGORICA,,,,,,89,86,76,88.40%,,3,3.40%,89,86,3,3.40%
Greece,MOROCCO,CASABLANCA,,,,,,159,124,23,18.50%,,35,22.00%,159,124,35,22.00%
Greece,MOROCCO,RABAT,,,,,,451,347,69,19.90%,3,101,22.40%,451,350,101,22.40%
Greece,NIGERIA,ABUJA,,,,,,524,235,92,39.10%,,289,55.20%,524,235,289,55.20%
Greece,NORTH MACEDONIA,BITOLA,,,,,,44,37,20,54.10%,,7,15.90%,44,37,7,15.90%
Greece,NORTH MACEDONIA,SKOPJE,,,,,,721,597,488,81.70%,89,35,4.90%,721,686,35,4.90%
Greece,PAKISTAN,ISLAMABAD,,,,,,734,405,70,17.30%,18,311,42.40%,734,423,311,42.40%
Greece,PERU,LIMA,,,,,,3,3,1,33.30%,,,,3,3,,
Greece,PHILIPPINES,MANILA,,,,,,4447,4149,1873,45.10%,1,297,6.70%,"4,447","4,150",297,6.70%
Greece,POLAND,WARSAW,,,,,,2,2,,,,,,2,2,,
Greece,QATAR,DOHA,,,,,,2499,2185,1098,50.30%,65,249,10.00%,"2,499","2,250",249,10.00%
Greece,ROMANIA,BUCHAREST,,,,,,434,413,247,59.80%,3,18,4.10%,434,416,18,4.10%
Greece,RUSSIAN FEDERATION,MOSCOW,,,,,,350542,346332,311390,89.90%,8,4202,1.20%,"3,50,542","3,46,340","4,202",1.20%
Greece,RUSSIAN FEDERATION,NOVOROSSIISK,,,,,,24541,23967,11980,50.00%,29,545,2.20%,"24,541","23,996",545,2.20%
Greece,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,32205,32136,29740,92.50%,1,68,0.20%,"32,205","32,137",68,0.20%
Greece,SAUDI ARABIA,JEDDAH,,,,,,4709,4105,3631,88.50%,1,603,12.80%,"4,709","4,106",603,12.80%
Greece,SAUDI ARABIA,RIYADH,,,,,,6024,5463,4578,83.80%,7,554,9.20%,"6,024","5,470",554,9.20%
Greece,SERBIA,BELGRADE,,,,,,216,210,212,101.00%,6,,,216,216,,
Greece,SINGAPORE,SINGAPORE,,,,,,62,61,31,50.80%,,1,1.60%,62,61,1,1.60%
Greece,SOUTH AFRICA,CAPE TOWN,,,,,,5144,4974,4959,99.70%,,170,3.30%,"5,144","4,974",170,3.30%
Greece,SOUTH AFRICA,JOHANNESBURG,,,,,,7561,7260,3609,49.70%,1,300,4.00%,"7,561","7,261",300,4.00%
Greece,SOUTH KOREA,SEOUL,,,,,,89,82,11,13.40%,,7,7.90%,89,82,7,7.90%
Greece,SPAIN,MADRID,,,,,,2,2,1,50.00%,,,,2,2,,
Greece,SWEDEN,STOCKHOLM,,,,,,5,5,4,80.00%,,,,5,5,,
Greece,THAILAND,BANGKOK,,,,,,3685,3646,293,8.00%,,39,1.10%,"3,685","3,646",39,1.10%
Greece,TUNISIA,TUNIS,,,,,,1685,1343,462,34.40%,16,326,19.30%,"1,685","1,359",326,19.30%
Greece,TURKEY,ANKARA,,,,,,6173,4505,2116,47.00%,23,1645,26.60%,"6,173","4,528","1,645",26.60%
Greece,TURKEY,EDIRNE,,,,,,19740,19443,19370,99.60%,,297,1.50%,"19,740","19,443",297,1.50%
Greece,TURKEY,ISTANBUL,,,,,,83435,80222,66719,83.20%,73,3140,3.80%,"83,435","80,295","3,140",3.80%
Greece,TURKEY,IZMIR,,,,,,34045,32950,30456,92.40%,11,1084,3.20%,"34,045","32,961","1,084",3.20%
Greece,UKRAINE,KYIV,,,,,,1718,1641,870,53.00%,5,72,4.20%,"1,718","1,646",72,4.20%
Greece,UKRAINE,MARIUPOL,,,,,,251,234,91,38.90%,,17,6.80%,251,234,17,6.80%
Greece,UKRAINE,ODESA,,,,,,739,704,237,33.70%,,35,4.70%,739,704,35,4.70%
Greece,UNITED ARAB EMIRATES,ABU DHABI,,,,,,6739,4736,1411,29.80%,193,1810,26.90%,"6,739","4,929","1,810",26.90%
Greece,UNITED KINGDOM,LONDON,,,,,,6271,6191,3786,61.20%,20,60,1.00%,"6,271","6,211",60,1.00%
Greece,URUGUAY,MONTEVIDEO,,,,,,2,2,,,,,,2,2,,
Greece,USA,"ATLANTA, GA",,,,,,185,162,37,22.80%,10,13,7.00%,185,172,13,7.00%
Greece,USA,"BOSTON, MA",,,,,,653,648,613,94.60%,5,,,653,653,,
Greece,USA,"CHICAGO, IL",,,,,,609,596,601,100.80%,8,5,0.80%,609,604,5,0.80%
Greece,USA,"HOUSTON, TX",,,,,,585,571,577,101.10%,9,5,0.90%,585,580,5,0.90%
Greece,USA,"LOS ANGELES, CA",,,,,,669,650,328,50.50%,14,5,0.70%,669,664,5,0.70%
Greece,USA,"NEW YORK, NY",,,,,,1941,1912,1396,73.00%,20,9,0.50%,"1,941","1,932",9,0.50%
Greece,USA,"SAN FRANCISCO, CA",,,,,,557,551,366,66.40%,4,2,0.40%,557,555,2,0.40%
Greece,USA,"TAMPA, FL",,,,,,233,222,125,56.30%,11,,,233,233,,
Greece,USA,"WASHINGTON, DC",,,,,,1568,553,1368,247.40%,1011,4,0.30%,"1,568","1,564",4,0.30%
Greece,VENEZUELA,CARACAS,,,,,,4,3,1,33.30%,,1,25.00%,4,3,1,25.00%
Greece,VIETNAM,HANOI,,,,,,2049,1927,1336,69.30%,,122,6.00%,"2,049","1,927",122,6.00%
Greece,ZIMBABWE,HARARE,,,,,,397,346,167,48.30%,,51,12.80%,397,346,51,12.80%
Hungary,ALBANIA,TIRANA,,,,,,108,107,87,81.30%,,1,0.90%,108,107,1,0.90%
Hungary,ALGERIA,ALGIERS,,,,,,2713,971,223,23.00%,,1742,64.20%,"2,713",971,"1,742",64.20%
Hungary,ANGOLA,LUANDA,,,,,,73,37,9,24.30%,,36,49.30%,73,37,36,49.30%
Hungary,AUSTRIA,VIENNA,,,,,,4,4,,,,,,4,4,,
Hungary,AZERBAIJAN,BAKU,,,,,,2796,2533,455,18.00%,2,261,9.30%,"2,796","2,535",261,9.30%
Hungary,BELARUS,MINSK,,,,,,7533,7502,4996,66.60%,2,29,0.40%,"7,533","7,504",29,0.40%
Hungary,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,79,73,45,61.60%,,6,7.60%,79,73,6,7.60%
Hungary,BULGARIA,SOFIA,,,,,,475,458,301,65.70%,,17,3.60%,475,458,17,3.60%
Hungary,CANADA,OTTAWA,,,,,,188,177,60,33.90%,2,9,4.80%,188,179,9,4.80%
Hungary,CHINA,BEIJING,,,,,,16930,16203,4059,25.10%,,727,4.30%,"16,930","16,203",727,4.30%
Hungary,CHINA,CHONGQING,,,,,,4619,4552,691,15.20%,1,66,1.40%,"4,619","4,553",66,1.40%
Hungary,CHINA,SHANGHAI,,,,,,8952,8299,2996,36.10%,1,652,7.30%,"8,952","8,300",652,7.30%
Hungary,CROATIA,ZAGREB,,,,,,49,43,29,67.40%,,6,12.20%,49,43,6,12.20%
Hungary,CUBA,HAVANA,,,,,,203,160,43,26.90%,,43,21.20%,203,160,43,21.20%
Hungary,ECUADOR,QUITO,,,,,,183,176,83,47.20%,,7,3.80%,183,176,7,3.80%
Hungary,EGYPT,CAIRO,,,,,,2872,2136,569,26.60%,12,724,25.20%,"2,872","2,148",724,25.20%
Hungary,ETHIOPIA,ADDIS ABEBA,,,,,,60,45,7,15.60%,1,14,23.30%,60,46,14,23.30%
Hungary,GHANA,ACCRA,,,,,,1192,474,149,31.40%,,718,60.20%,"1,192",474,718,60.20%
Hungary,INDIA,MUMBAI,,,,,,11909,11261,11064,98.30%,2,646,5.40%,"11,909","11,263",646,5.40%
Hungary,INDIA,NEW DELHI,,,,,,9795,8446,2536,30.00%,,1349,13.80%,"9,795","8,446","1,349",13.80%
Hungary,INDONESIA,JAKARTA,,,,,,5392,5357,3241,60.50%,3,32,0.60%,"5,392","5,360",32,0.60%
Hungary,IRAN,TEHERAN,,,,,,5051,4505,1136,25.20%,34,512,10.10%,"5,051","4,539",512,10.10%
Hungary,IRAQ,ERBIL,,,,,,1080,601,162,27.00%,14,465,43.10%,"1,080",615,465,43.10%
Hungary,IRELAND,DUBLIN,,,,,,231,218,96,44.00%,,13,5.60%,231,218,13,5.60%
Hungary,ISRAEL,TEL AVIV,,,,,,545,480,84,17.50%,3,62,11.40%,545,483,62,11.40%
Hungary,JAPAN,TOKYO,,,,,,142,141,42,29.80%,,1,0.70%,142,141,1,0.70%
Hungary,JORDAN,AMMAN,,,,,,1579,1370,762,55.60%,5,204,12.90%,"1,579","1,375",204,12.90%
Hungary,KAZAKHSTAN,ALMATY,,,,,,11991,11252,2930,26.00%,2,737,6.10%,"11,991","11,254",737,6.10%
Hungary,KENYA,NAIROBI,,,,,,280,254,49,19.30%,,26,9.30%,280,254,26,9.30%
Hungary,KOSOVO,PRISTINA,,,,,,4013,2815,1301,46.20%,,1198,29.90%,"4,013","2,815","1,198",29.90%
Hungary,KUWAIT,KUWAIT,,,,,,822,760,559,73.60%,3,59,7.20%,822,763,59,7.20%
Hungary,LEBANON,BEIRUT,,,,,,1002,829,191,23.00%,4,169,16.90%,"1,002",833,169,16.90%
Hungary,LIBYA,TRIPOLI,,,,,,79,30,24,80.00%,1,48,60.80%,79,31,48,60.80%
Hungary,MALAYSIA,KUALA LUMPUR,,,,,,165,85,45,52.90%,,80,48.50%,165,85,80,48.50%
Hungary,MEXICO,MEXICO CITY,,,,,,6,5,2,40.00%,,1,16.70%,6,5,1,16.70%
Hungary,MOLDOVA,CHISINAU,,,,,,461,432,352,81.50%,,29,6.30%,461,432,29,6.30%
Hungary,MONGOLIA,ULAN BATOR,,,,,,805,624,143,22.90%,,181,22.50%,805,624,181,22.50%
Hungary,MOROCCO,RABAT,,,,,,517,317,100,31.50%,6,194,37.50%,517,323,194,37.50%
Hungary,NIGERIA,ABUJA,,,,,,1047,499,121,24.20%,1,547,52.20%,"1,047",500,547,52.20%
Hungary,NORTH MACEDONIA,SKOPJE,,,,,,40,39,19,48.70%,,1,2.50%,40,39,1,2.50%
Hungary,PAKISTAN,ISLAMABAD,,,,,,2135,1114,273,24.50%,8,1013,47.40%,"2,135","1,122","1,013",47.40%
Hungary,PERU,LIMA,,,,,,4,4,2,50.00%,,,,4,4,,
Hungary,PHILIPPINES,MANILA,,,,,,625,590,336,56.90%,,35,5.60%,625,590,35,5.60%
Hungary,PORTUGAL,LISBON,,,,,,2,1,,,,1,50.00%,2,1,1,50.00%
Hungary,QATAR,DOHA,,,,,,1982,1736,1349,77.70%,2,244,12.30%,"1,982","1,738",244,12.30%
Hungary,ROMANIA,BUCHAREST,,,,,,351,312,122,39.10%,1,38,10.80%,351,313,38,10.80%
Hungary,RUSSIAN FEDERATION,KAZAN,,,,,,4102,4091,2271,55.50%,,11,0.30%,"4,102","4,091",11,0.30%
Hungary,RUSSIAN FEDERATION,MOSCOW,,,,,,47873,47113,23534,50.00%,5,755,1.60%,"47,873","47,118",755,1.60%
Hungary,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,2470,2464,1605,65.10%,1,5,0.20%,"2,470","2,465",5,0.20%
Hungary,RUSSIAN FEDERATION,YEKATERINBURG,,,,,,9650,9603,4361,45.40%,,47,0.50%,"9,650","9,603",47,0.50%
Hungary,SAUDI ARABIA,RIYADH,,,,,,1821,1540,1327,86.20%,3,278,15.30%,"1,821","1,543",278,15.30%
Hungary,SERBIA,BELGRADE,,,,,,1310,1269,1079,85.00%,12,29,2.20%,"1,310","1,281",29,2.20%
Hungary,SERBIA,SUBOTICA,,,,,,21,20,8,40.00%,1,,,21,21,,
Hungary,SINGAPORE,SINGAPORE,,,,,,883,874,247,28.30%,,9,1.00%,883,874,9,1.00%
Hungary,SLOVAKIA,BRATISLAVA,,,,,,1,,,,,1,100.00%,1,,1,100.00%
Hungary,SOUTH AFRICA,PRETORIA,,,,,,1729,1679,1131,67.40%,2,48,2.80%,"1,729","1,681",48,2.80%
Hungary,SOUTH KOREA,SEOUL,,,,,,73,68,11,16.20%,,5,6.80%,73,68,5,6.80%
Hungary,TAIWAN,TAIPEI,,,,,,26,25,11,44.00%,,1,3.80%,26,25,1,3.80%
Hungary,THAILAND,BANGKOK,,,,,,2069,2011,395,19.60%,,58,2.80%,"2,069","2,011",58,2.80%
Hungary,TUNISIA,TUNIS,,,,,,387,286,62,21.70%,5,96,24.80%,387,291,96,24.80%
Hungary,TURKEY,ANKARA,,,,,,7130,6795,5200,76.50%,5,330,4.60%,"7,130","6,800",330,4.60%
Hungary,TURKEY,ISTANBUL,,,,,,20212,18845,16865,89.50%,28,1339,6.60%,"20,212","18,873","1,339",6.60%
Hungary,UKRAINE,BEREHOVE,,,,,,2445,2290,2004,87.50%,,155,6.30%,"2,445","2,290",155,6.30%
Hungary,UKRAINE,KYIV,,,,,,1284,1236,674,54.50%,1,47,3.70%,"1,284","1,237",47,3.70%
Hungary,UKRAINE,UZHHOROD,,,,,,4099,4046,3830,94.70%,13,40,1.00%,"4,099","4,059",40,1.00%
Hungary,UNITED ARAB EMIRATES,ABU DHABI,,,,,,4007,3204,1722,53.70%,3,800,20.00%,"4,007","3,207",800,20.00%
Hungary,UNITED KINGDOM,LONDON,,,,,,1198,1126,604,53.60%,6,66,5.50%,"1,198","1,132",66,5.50%
Hungary,USA,"CHICAGO, IL",,,,,,243,239,231,96.70%,1,3,1.20%,243,240,3,1.20%
Hungary,USA,"LOS ANGELES, CA",,,,,,239,235,42,17.90%,1,3,1.30%,239,236,3,1.30%
Hungary,USA,"NEW YORK, NY",,,,,,422,413,95,23.00%,2,7,1.70%,422,415,7,1.70%
Hungary,USA,"WASHINGTON, DC",,,,,,240,237,171,72.20%,,3,1.30%,240,237,3,1.30%
Hungary,UZBEKISTAN,TASHKENT,,,,,,1351,951,117,12.30%,2,398,29.50%,"1,351",953,398,29.50%
Hungary,VIETNAM,HANOI,,,,,,812,735,81,11.00%,2,75,9.20%,812,737,75,9.20%
Hungary,VIETNAM,HO CHI MINH,,,,,,1616,1405,126,9.00%,1,210,13.00%,"1,616","1,406",210,13.00%
Iceland,CHINA,BEIJING,,,,,,7343,6869,1604,23.40%,,151,2.10%,"7,343","6,869",151,2.10%
Iceland,RUSSIAN FEDERATION,MOSCOW,,,,,,1991,1987,1006,50.60%,,5,0.30%,"1,991","1,987",5,0.30%
Italy,AFGHANISTAN,KABUL,,,,,,128,89,49,55.10%,35,4,3.10%,128,124,4,3.10%
Italy,ALBANIA,TIRANA,,,,,,461,424,321,75.70%,15,22,4.80%,461,439,22,4.80%
Italy,ALBANIA,VLORE,,,,,,90,89,86,96.60%,,1,1.10%,90,89,1,1.10%
Italy,ALGERIA,ALGIERS,,,,,,23464,13958,8600,61.60%,321,9185,39.10%,"23,464","14,279","9,185",39.10%
Italy,ANGOLA,LUANDA,,,,,,1173,1036,238,23.00%,,137,11.70%,"1,173","1,036",137,11.70%
Italy,ARGENTINA,BUENOS AIRES,2,2,,,,101,99,33,33.30%,1,1,1.00%,103,102,1,1.00%
Italy,ARMENIA,YEREVAN,,,,,,8731,7582,2545,33.60%,1,1148,13.10%,"8,731","7,583","1,148",13.10%
Italy,AUSTRALIA,ADELAIDE,,,,,,176,165,11,6.70%,,11,6.30%,176,165,11,6.30%
Italy,AUSTRALIA,BRISBANE,,,,,,449,443,46,10.40%,,6,1.30%,449,443,6,1.30%
Italy,AUSTRALIA,CANBERRA,,,,,,182,178,62,34.80%,,4,2.20%,182,178,4,2.20%
Italy,AUSTRALIA,MELBOURNE,,,,,,1666,1661,78,4.70%,,5,0.30%,"1,666","1,661",5,0.30%
Italy,AUSTRALIA,PERTH,,,,,,415,405,118,29.10%,,10,2.40%,415,405,10,2.40%
Italy,AUSTRALIA,SYDNEY,,,,,,1394,1390,287,20.60%,1,3,0.20%,"1,394","1,391",3,0.20%
Italy,AUSTRIA,VIENNA,,,,,,14,14,12,85.70%,,,,14,14,,
Italy,AZERBAIJAN,BAKU,,,,,,9981,8796,4162,47.30%,,1185,11.90%,"9,981","8,796","1,185",11.90%
Italy,BAHRAIN,MANAMA,,,,,,6013,5592,5414,96.80%,42,379,6.30%,"6,013","5,634",379,6.30%
Italy,BANGLADESH,DHAKA,,,,,,6935,3774,2703,71.60%,37,3124,45.00%,"6,935","3,811","3,124",45.00%
Italy,BELARUS,MINSK,,,,,,23978,23835,14892,62.50%,8,135,0.60%,"23,978","23,843",135,0.60%
Italy,BELGIUM,BRUSSELS,,,,,,2,2,1,50.00%,,,,2,2,,
Italy,BOLIVIA,LA PAZ,,,,,,1867,1310,252,19.20%,1,556,29.80%,"1,867","1,311",556,29.80%
Italy,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,234,219,219,100.00%,,15,6.40%,234,219,15,6.40%
Italy,BRAZIL,BELO HORIZONTE,,,,,,11,11,5,45.50%,,,,11,11,,
Italy,BRAZIL,BRASILIA,,,,,,17,14,4,28.60%,,3,17.60%,17,14,3,17.60%
Italy,BRAZIL,CURITIBA,,,,,,31,31,31,100.00%,,,,31,31,,
Italy,BRAZIL,PORTO ALEGRE,,,,,,2,2,2,100.00%,,,,2,2,,
Italy,BRAZIL,RECIFE,,,,,,26,24,24,100.00%,,2,7.70%,26,24,2,7.70%
Italy,BRAZIL,RIO DE JANEIRO,3,3,,,,73,53,20,37.70%,,20,27.40%,76,56,20,26.30%
Italy,BRAZIL,SAO PAULO,4,1,,3,75.00%,262,190,109,57.40%,,72,27.50%,266,191,75,28.20%
Italy,BULGARIA,SOFIA,3,3,,,,416,410,154,37.60%,,6,1.40%,419,413,6,1.40%
Italy,CAMEROON,YAONDE,,,,,,3658,2137,522,24.40%,2,1519,41.50%,"3,658","2,139","1,519",41.50%
Italy,CANADA,MONTREAL,,,,,,851,803,797,99.30%,,48,5.60%,851,803,48,5.60%
Italy,CANADA,OTTAWA,,,,,,223,219,219,100.00%,,4,1.80%,223,219,4,1.80%
Italy,CANADA,TORONTO,,,,,,1818,1801,1780,98.80%,,17,0.90%,"1,818","1,801",17,0.90%
Italy,CANADA,VANCOUVER,,,,,,1020,1011,252,24.90%,2,7,0.70%,"1,020","1,013",7,0.70%
Italy,CHILE,SANTIAGO DE CHILE,,,,,,214,209,197,94.30%,,5,2.30%,214,209,5,2.30%
Italy,CHINA,BEIJING,,,,,,203064,198433,77993,39.30%,3,4628,2.30%,"2,03,064","1,98,436","4,628",2.30%
Italy,CHINA,CHONGQING,,,,,,50912,50236,15800,31.50%,,676,1.30%,"50,912","50,236",676,1.30%
Italy,CHINA,GUANGZHOU (CANTON),,,,,,87028,83799,82386,98.30%,,3229,3.70%,"87,028","83,799","3,229",3.70%
Italy,CHINA,SHANGHAI,,,,,,134713,129361,67685,52.30%,3,5349,4.00%,"1,34,713","1,29,364","5,349",4.00%
Italy,COLOMBIA,BOGOTA,,,,,,59,57,54,94.70%,,2,3.40%,59,57,2,3.40%
Italy,CONGO (BRAZZAVILLE),BRAZZAVILLE,,,,,,1985,893,165,18.50%,1,1091,55.00%,"1,985",894,"1,091",55.00%
Italy,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,,,,,,1129,807,603,74.70%,187,135,12.00%,"1,129",994,135,12.00%
Italy,COSTA RICA,SAN JOSE,,,,,,15,15,12,80.00%,,,,15,15,,
Italy,COTE D'IVOIRE,ABIDJAN ,,,,,,2616,1503,764,50.80%,9,1104,42.20%,"2,616","1,512","1,104",42.20%
Italy,CROATIA,ZAGREB,,,,,,567,563,499,88.60%,,4,0.70%,567,563,4,0.70%
Italy,CUBA,HAVANA,,,,,,13280,12128,6341,52.30%,11,1141,8.60%,"13,280","12,139","1,141",8.60%
Italy,CYPRUS,NICOSIA,1,1,,,,1011,958,338,35.30%,,53,5.20%,"1,012",959,53,5.20%
Italy,CZECH REPUBLIC,PRAGUE,,,,,,2,2,2,100.00%,,,,2,2,,
Italy,DENMARK,COPENHAGEN,,,,,,3,3,1,33.30%,,,,3,3,,
Italy,ECUADOR,QUITO,,,,,,5894,4534,4532,100.00%,,1360,23.10%,"5,894","4,534","1,360",23.10%
Italy,EGYPT,CAIRO,,,,,,20200,15145,10686,70.60%,102,4953,24.50%,"20,200","15,247","4,953",24.50%
